Date,Close,Absolute Change,Percentage Change,RSI_14,SMA_50,Bollinger_Width,Target_Next_Day_Up
2021-08-04,3123.24,12.15,0.39,73.46153477938222,2922.853,13.855516602088604,0
2021-08-05,3107.45,-16.0,-0.51,69.67328180459029,2928.6707999999994,12.96806475853553,1
2021-08-08,3108.12,0.66,0.02,69.74457688486038,2934.5254000000004,12.05800161628522,1
2021-08-09,3109.66,1.54,0.05,69.9196212153239,2940.16,11.757426503111763,1
2021-08-10,3161.44,51.86,1.67,75.12977498786486,2947.7351999999996,11.085169923950886,1
2021-08-11,3162.59,0.94,0.03,75.23238080417025,2955.5640000000003,10.268498778217499,1
2021-08-12,3179.0,16.41,0.52,76.7090233882953,2962.6016000000004,9.175081659706027,0
2021-08-15,3154.03,-24.88,-0.78,69.88171777896495,2968.5488,7.490814449521483,1
2021-08-16,3160.05,5.72,0.18,70.5619765790368,2973.612,7.062210885062423,1
2021-08-17,3160.31,0.23,0.01,70.59286944214205,2978.6841999999997,6.615135398718705,1
2021-08-18,3198.6,38.28,1.21,74.78889476454026,2983.4534000000003,6.149199055996587,0
2021-08-19,3180.78,-18.24,-0.57,69.79738827925415,2988.1374,5.500866412871989,0
2021-08-24,3124.87,-56.03,-1.76,56.95386440484927,2991.7392,5.167371175004712,0
2021-08-25,3076.45,-48.42,-1.55,48.611256244972964,2993.6062,4.899325622740851,1
2021-08-26,3094.05,17.6,0.57,51.39805048965302,2994.9708,4.800193244471424,0
2021-08-29,3044.86,-49.18,-1.59,44.18583337004084,2995.4260000000004,5.264273956172553,0
2021-08-31,2975.84,-69.05,-2.27,36.45594353546927,2995.5490000000004,6.632565943414284,1
2021-09-01,2977.02,1.18,0.04,36.65995770825165,2995.7208,7.699747417592665,0
2021-09-02,2926.89,-50.13,-1.68,31.964728445533808,2996.1558,9.330870806212632,0
2021-09-05,2818.72,-108.26,-3.7,24.633395646401098,2995.8421999999996,12.39930492892964,1
2021-09-06,2980.78,161.94,5.74,44.990065428056305,2997.1810000000005,12.775961823670261,0
2021-09-07,2936.6,-44.18,-1.48,41.68456218238926,2998.6694,13.457671459878783,0
